sku_id,product_name,voltage,conductor_material,insulation_material,cross_section_area,temperature_rating,no_of_cores,armoured,application,standard,unit_price
CU-1100-XLPE-16-3C,1100V 3C 16sqmm Cu XLPE Cable,1100,Copper,XLPE,16,90,3,Yes,Industrial,IS 7098,85000
CU-1100-XLPE-25-3C,1100V 3C 25sqmm Cu XLPE Cable,1100,Copper,XLPE,25,90,3,Yes,Industrial,IS 7098,115000
CU-1100-XLPE-35-3C,1100V 3C 35sqmm Cu XLPE Cable,1100,Copper,XLPE,35,90,3,Yes,Industrial,IS 7098,155000
CU-1100-XLPE-50-3C,1100V 3C 50sqmm Cu XLPE Cable,1100,Copper,XLPE,50,90,3,Yes,Industrial,IS 7098,195000
CU-1100-XLPE-70-3C,1100V 3C 70sqmm Cu XLPE Cable,1100,Copper,XLPE,70,90,3,Yes,Industrial,IS 7098,285000
CU-1100-XLPE-95-3C,1100V 3C 95sqmm Cu XLPE Cable,1100,Copper,XLPE,95,90,3,Yes,Industrial,IS 7098,395000
CU-1100-XLPE-120-3C,1100V 3C 120sqmm Cu XLPE Cable,1100,Copper,XLPE,120,90,3,Yes,Industrial,IS 7098,485000
CU-1100-XLPE-150-3C,1100V 3C 150sqmm Cu XLPE Cable,1100,Copper,XLPE,150,90,3,Yes,Industrial,IS 7098,595000
CU-1100-XLPE-185-3C,1100V 3C 185sqmm Cu XLPE Cable,1100,Copper,XLPE,185,90,3,Yes,Industrial,IS 7098,725000
CU-1100-XLPE-240-3C,1100V 3C 240sqmm Cu XLPE Cable,1100,Copper,XLPE,240,90,3,Yes,Industrial,IS 7098,950000
CU-1100-XLPE-300-3C,1100V 3C 300sqmm Cu XLPE Cable,1100,Copper,XLPE,300,90,3,Yes,Industrial,IS 7098,1180000
CU-1100-PVC-16-4C,1100V 4C 16sqmm Cu PVC Cable,1100,Copper,PVC,16,70,4,No,Building,IS 694,75000
CU-1100-PVC-25-4C,1100V 4C 25sqmm Cu PVC Cable,1100,Copper,PVC,25,70,4,No,Building,IS 694,105000
CU-1100-PVC-35-4C,1100V 4C 35sqmm Cu PVC Cable,1100,Copper,PVC,35,70,4,Yes,Building,IS 1554,138000
CU-1100-PVC-50-4C,1100V 4C 50sqmm Cu PVC Cable,1100,Copper,PVC,50,70,4,Yes,Building,IS 1554,175000
CU-1100-PVC-70-4C,1100V 4C 70sqmm Cu PVC Cable,1100,Copper,PVC,70,70,4,Yes,Building,IS 1554,245000
CU-1100-PVC-95-4C,1100V 4C 95sqmm Cu PVC Cable,1100,Copper,PVC,95,70,4,Yes,Building,IS 1554,335000
AL-1100-XLPE-50-3C,1100V 3C 50sqmm Al XLPE Cable,1100,Aluminium,XLPE,50,90,3,Yes,Industrial,IS 7098,125000
AL-1100-XLPE-70-3C,1100V 3C 70sqmm Al XLPE Cable,1100,Aluminium,XLPE,70,90,3,Yes,Industrial,IS 7098,175000
AL-1100-XLPE-95-3C,1100V 3C 95sqmm Al XLPE Cable,1100,Aluminium,XLPE,95,90,3,Yes,Industrial,IS 7098,245000
AL-1100-XLPE-120-3C,1100V 3C 120sqmm Al XLPE Cable,1100,Aluminium,XLPE,120,90,3,Yes,Industrial,IS 7098,325000
AL-1100-XLPE-150-3C,1100V 3C 150sqmm Al XLPE Cable,1100,Aluminium,XLPE,150,90,3,Yes,Industrial,IS 7098,415000
AL-1100-XLPE-185-3C,1100V 3C 185sqmm Al XLPE Cable,1100,Aluminium,XLPE,185,90,3,Yes,Industrial,IS 7098,505000
AL-1100-XLPE-240-3C,1100V 3C 240sqmm Al XLPE Cable,1100,Aluminium,XLPE,240,90,3,Yes,Industrial,IS 7098,680000
AL-1100-XLPE-300-3C,1100V 3C 300sqmm Al XLPE Cable,1100,Aluminium,XLPE,300,90,3,Yes,Industrial,IS 7098,840000
AL-1100-XLPE-400-3C,1100V 3C 400sqmm Al XLPE Cable,1100,Aluminium,XLPE,400,90,3,Yes,Industrial,IS 7098,1050000
CU-11000-XLPE-25-3C,11kV 3C 25sqmm Cu XLPE HT Cable,11000,Copper,XLPE,25,90,3,Yes,Power Distribution,IS 7098,285000
CU-11000-XLPE-35-3C,11kV 3C 35sqmm Cu XLPE HT Cable,11000,Copper,XLPE,35,90,3,Yes,Power Distribution,IS 7098,365000
CU-11000-XLPE-50-3C,11kV 3C 50sqmm Cu XLPE HT Cable,11000,Copper,XLPE,50,90,3,Yes,Power Distribution,IS 7098,420000
CU-11000-XLPE-70-3C,11kV 3C 70sqmm Cu XLPE HT Cable,11000,Copper,XLPE,70,90,3,Yes,Power Distribution,IS 7098,580000
CU-11000-XLPE-95-3C,11kV 3C 95sqmm Cu XLPE HT Cable,11000,Copper,XLPE,95,90,3,Yes,Power Distribution,IS 7098,750000
CU-11000-XLPE-120-3C,11kV 3C 120sqmm Cu XLPE HT Cable,11000,Copper,XLPE,120,90,3,Yes,Power Distribution,IS 7098,890000
CU-11000-XLPE-150-3C,11kV 3C 150sqmm Cu XLPE HT Cable,11000,Copper,XLPE,150,90,3,Yes,Power Distribution,IS 7098,1050000
CU-11000-XLPE-185-3C,11kV 3C 185sqmm Cu XLPE HT Cable,11000,Copper,XLPE,185,90,3,Yes,Power Distribution,IS 7098,1250000
CU-11000-XLPE-240-3C,11kV 3C 240sqmm Cu XLPE HT Cable,11000,Copper,XLPE,240,90,3,Yes,Power Distribution,IS 7098,1480000
CU-11000-XLPE-300-3C,11kV 3C 300sqmm Cu XLPE HT Cable,11000,Copper,XLPE,300,90,3,Yes,Power Distribution,IS 7098,1720000
AL-11000-XLPE-50-3C,11kV 3C 50sqmm Al XLPE HT Cable,11000,Aluminium,XLPE,50,90,3,Yes,Power Distribution,IS 7098,285000
AL-11000-XLPE-70-3C,11kV 3C 70sqmm Al XLPE HT Cable,11000,Aluminium,XLPE,70,90,3,Yes,Power Distribution,IS 7098,365000
AL-11000-XLPE-95-3C,11kV 3C 95sqmm Al XLPE HT Cable,11000,Aluminium,XLPE,95,90,3,Yes,Power Distribution,IS 7098,450000
AL-11000-XLPE-120-3C,11kV 3C 120sqmm Al XLPE HT Cable,11000,Aluminium,XLPE,120,90,3,Yes,Power Distribution,IS 7098,565000
AL-11000-XLPE-150-3C,11kV 3C 150sqmm Al XLPE HT Cable,11000,Aluminium,XLPE,150,90,3,Yes,Power Distribution,IS 7098,685000
AL-11000-XLPE-185-3C,11kV 3C 185sqmm Al XLPE HT Cable,11000,Aluminium,XLPE,185,90,3,Yes,Power Distribution,IS 7098,825000
AL-11000-XLPE-240-3C,11kV 3C 240sqmm Al XLPE HT Cable,11000,Aluminium,XLPE,240,90,3,Yes,Power Distribution,IS 7098,1050000
AL-11000-XLPE-300-3C,11kV 3C 300sqmm Al XLPE HT Cable,11000,Aluminium,XLPE,300,90,3,Yes,Power Distribution,IS 7098,1280000
AL-11000-XLPE-400-3C,11kV 3C 400sqmm Al XLPE HT Cable,11000,Aluminium,XLPE,400,90,3,Yes,Power Distribution,IS 7098,1650000
AL-22000-XLPE-120-3C,22kV 3C 120sqmm Al XLPE HT Cable,22000,Aluminium,XLPE,120,90,3,Yes,Sub-Transmission,IS 7098,920000
AL-22000-XLPE-150-3C,22kV 3C 150sqmm Al XLPE HT Cable,22000,Aluminium,XLPE,150,90,3,Yes,Sub-Transmission,IS 7098,1080000
AL-22000-XLPE-185-3C,22kV 3C 185sqmm Al XLPE HT Cable,22000,Aluminium,XLPE,185,90,3,Yes,Sub-Transmission,IS 7098,1250000
AL-22000-XLPE-240-3C,22kV 3C 240sqmm Al XLPE HT Cable,22000,Aluminium,XLPE,240,90,3,Yes,Sub-Transmission,IS 7098,1450000
AL-22000-XLPE-300-3C,22kV 3C 300sqmm Al XLPE HT Cable,22000,Aluminium,XLPE,300,90,3,Yes,Sub-Transmission,IS 7098,1800000
AL-33000-XLPE-70-1C,33kV 1C 70sqmm Al XLPE HT Cable,33000,Aluminium,XLPE,70,90,1,Yes,Transmission,IS 7098,450000
AL-33000-XLPE-95-1C,33kV 1C 95sqmm Al XLPE HT Cable,33000,Aluminium,XLPE,95,90,1,Yes,Transmission,IS 7098,580000
AL-33000-XLPE-120-1C,33kV 1C 120sqmm Al XLPE HT Cable,33000,Aluminium,XLPE,120,90,1,Yes,Transmission,IS 7098,720000
AL-33000-XLPE-185-1C,33kV 1C 185sqmm Al XLPE HT Cable,33000,Aluminium,XLPE,185,90,1,Yes,Transmission,IS 7098,850000
AL-33000-XLPE-240-1C,33kV 1C 240sqmm Al XLPE HT Cable,33000,Aluminium,XLPE,240,90,1,Yes,Transmission,IS 7098,1050000
AL-33000-XLPE-300-1C,33kV 1C 300sqmm Al XLPE HT Cable,33000,Aluminium,XLPE,300,90,1,Yes,Transmission,IS 7098,1350000
AL-33000-XLPE-400-1C,33kV 1C 400sqmm Al XLPE HT Cable,33000,Aluminium,XLPE,400,90,1,Yes,Transmission,IS 7098,1750000
AL-33000-XLPE-500-1C,33kV 1C 500sqmm Al XLPE HT Cable,33000,Aluminium,XLPE,500,90,1,Yes,Transmission,IS 7098,2200000
CU-33000-XLPE-95-1C,33kV 1C 95sqmm Cu XLPE HT Cable,33000,Copper,XLPE,95,90,1,Yes,Transmission,IS 7098,780000
CU-33000-XLPE-120-1C,33kV 1C 120sqmm Cu XLPE HT Cable,33000,Copper,XLPE,120,90,1,Yes,Transmission,IS 7098,950000
CU-33000-XLPE-185-1C,33kV 1C 185sqmm Cu XLPE HT Cable,33000,Copper,XLPE,185,90,1,Yes,Transmission,IS 7098,1250000
CU-33000-XLPE-240-1C,33kV 1C 240sqmm Cu XLPE HT Cable,33000,Copper,XLPE,240,90,1,Yes,Transmission,IS 7098,1580000
CU-33000-XLPE-300-1C,33kV 1C 300sqmm Cu XLPE HT Cable,33000,Copper,XLPE,300,90,1,Yes,Transmission,IS 7098,1950000
AL-66000-XLPE-240-1C,66kV 1C 240sqmm Al XLPE EHV Cable,66000,Aluminium,XLPE,240,90,1,Yes,EHV Transmission,IEC 60840,2250000
AL-66000-XLPE-300-1C,66kV 1C 300sqmm Al XLPE EHV Cable,66000,Aluminium,XLPE,300,90,1,Yes,EHV Transmission,IEC 60840,2800000
AL-66000-XLPE-400-1C,66kV 1C 400sqmm Al XLPE EHV Cable,66000,Aluminium,XLPE,400,90,1,Yes,EHV Transmission,IEC 60840,3350000
AL-66000-XLPE-500-1C,66kV 1C 500sqmm Al XLPE EHV Cable,66000,Aluminium,XLPE,500,90,1,Yes,EHV Transmission,IEC 60840,4100000
AL-66000-XLPE-630-1C,66kV 1C 630sqmm Al XLPE EHV Cable,66000,Aluminium,XLPE,630,90,1,Yes,EHV Transmission,IEC 60840,4800000
AL-110000-XLPE-400-1C,110kV 1C 400sqmm Al XLPE EHV Cable,110000,Aluminium,XLPE,400,90,1,Yes,EHV Transmission,IEC 60840,5200000
AL-110000-XLPE-500-1C,110kV 1C 500sqmm Al XLPE EHV Cable,110000,Aluminium,XLPE,500,90,1,Yes,EHV Transmission,IEC 60840,5800000
AL-110000-XLPE-630-1C,110kV 1C 630sqmm Al XLPE EHV Cable,110000,Aluminium,XLPE,630,90,1,Yes,EHV Transmission,IEC 60840,6800000
AL-110000-XLPE-800-1C,110kV 1C 800sqmm Al XLPE EHV Cable,110000,Aluminium,XLPE,800,90,1,Yes,EHV Transmission,IEC 60840,8200000
AL-110000-XLPE-1000-1C,110kV 1C 1000sqmm Al XLPE EHV Cable,110000,Aluminium,XLPE,1000,90,1,Yes,EHV Transmission,IEC 60840,9800000
CTRL-1100-PVC-1.5-4C,1100V 4C 1.5sqmm Cu Control Cable,1100,Copper,PVC,1.5,70,4,Yes,Control,IS 1554,45000
CTRL-1100-PVC-2.5-4C,1100V 4C 2.5sqmm Cu Control Cable,1100,Copper,PVC,2.5,70,4,Yes,Control,IS 1554,52000
CTRL-1100-PVC-1.5-7C,1100V 7C 1.5sqmm Cu Control Cable,1100,Copper,PVC,1.5,70,7,Yes,Control,IS 1554,62000
CTRL-1100-PVC-2.5-7C,1100V 7C 2.5sqmm Cu Control Cable,1100,Copper,PVC,2.5,70,7,Yes,Control,IS 1554,72000
CTRL-1100-PVC-1.5-10C,1100V 10C 1.5sqmm Cu Control Cable,1100,Copper,PVC,1.5,70,10,Yes,Control,IS 1554,75000
CTRL-1100-PVC-2.5-10C,1100V 10C 2.5sqmm Cu Control Cable,1100,Copper,PVC,2.5,70,10,Yes,Control,IS 1554,88000
CTRL-1100-PVC-1.5-12C,1100V 12C 1.5sqmm Cu Control Cable,1100,Copper,PVC,1.5,70,12,Yes,Control,IS 1554,82000
CTRL-1100-PVC-2.5-12C,1100V 12C 2.5sqmm Cu Control Cable,1100,Copper,PVC,2.5,70,12,Yes,Control,IS 1554,96000
CTRL-1100-PVC-1.5-19C,1100V 19C 1.5sqmm Cu Control Cable,1100,Copper,PVC,1.5,70,19,Yes,Control,IS 1554,108000
CTRL-1100-PVC-2.5-19C,1100V 19C 2.5sqmm Cu Control Cable,1100,Copper,PVC,2.5,70,19,Yes,Control,IS 1554,125000
CTRL-1100-PVC-1.5-24C,1100V 24C 1.5sqmm Cu Control Cable,1100,Copper,PVC,1.5,70,24,Yes,Control,IS 1554,138000
CTRL-1100-PVC-2.5-24C,1100V 24C 2.5sqmm Cu Control Cable,1100,Copper,PVC,2.5,70,24,Yes,Control,IS 1554,155000
CTRL-1100-PVC-1.5-30C,1100V 30C 1.5sqmm Cu Control Cable,1100,Copper,PVC,1.5,70,30,Yes,Control,IS 1554,168000
CTRL-1100-PVC-2.5-30C,1100V 30C 2.5sqmm Cu Control Cable,1100,Copper,PVC,2.5,70,30,Yes,Control,IS 1554,195000
CTRL-1100-PVC-1.5-37C,1100V 37C 1.5sqmm Cu Control Cable,1100,Copper,PVC,1.5,70,37,Yes,Control,IS 1554,198000
CTRL-1100-PVC-2.5-37C,1100V 37C 2.5sqmm Cu Control Cable,1100,Copper,PVC,2.5,70,37,Yes,Control,IS 1554,228000
INST-600-PVC-1-2P,600V 2P 1sqmm Cu Instrumentation Cable,600,Copper,PVC,1,70,4,Yes,Instrumentation,IS 1554,24000
INST-600-PVC-1.5-2P,600V 2P 1.5sqmm Cu Instrumentation Cable,600,Copper,PVC,1.5,70,4,Yes,Instrumentation,IS 1554,28000
INST-600-PVC-2.5-2P,600V 2P 2.5sqmm Cu Instrumentation Cable,600,Copper,PVC,2.5,70,4,Yes,Instrumentation,IS 1554,35000
INST-600-PVC-1-4P,600V 4P 1sqmm Cu Instrumentation Cable,600,Copper,PVC,1,70,8,Yes,Instrumentation,IS 1554,38000
INST-600-PVC-1.5-4P,600V 4P 1.5sqmm Cu Instrumentation Cable,600,Copper,PVC,1.5,70,8,Yes,Instrumentation,IS 1554,45000
INST-600-PVC-2.5-4P,600V 4P 2.5sqmm Cu Instrumentation Cable,600,Copper,PVC,2.5,70,8,Yes,Instrumentation,IS 1554,55000
INST-600-PVC-1-8P,600V 8P 1sqmm Cu Instrumentation Cable,600,Copper,PVC,1,70,16,Yes,Instrumentation,IS 1554,62000
INST-600-PVC-1.5-8P,600V 8P 1.5sqmm Cu Instrumentation Cable,600,Copper,PVC,1.5,70,16,Yes,Instrumentation,IS 1554,72000
INST-600-PVC-2.5-8P,600V 8P 2.5sqmm Cu Instrumentation Cable,600,Copper,PVC,2.5,70,16,Yes,Instrumentation,IS 1554,88000
