SKU_ID,Product_Name,Type,Conductor_Material,Conductor_Area_mm2,Voltage_Rating_kV,Insulation,Armoured,No_of_Cores,Temperature_Range,Standard,Unit_Weight_kg_per_km,Unit_Price_per_km,Lead_Time_Days,Description
CBL002,4C x 16 sqmm LT PVC Cable,LT Cable,Copper,16,1.1,PVC,No,4,-10 to 70,IS 694,250,120000,10,"4 core 16 sq mm copper LT cable PVC insulated unarmoured 1.1kV voltage rating IS 694"
CBL005,3C x 2.5 sqmm LT Armoured Cable,LT Cable,Copper,2.5,1.1,XLPE,Yes,3,-10 to 70,IS 7098,85,28000,5,"3 core 2.5 sq mm copper armoured cable XLPE insulation 1.1kV rated IS 7098 standard"
CBL006,4C x 25 sqmm LT Power Cable,LT Cable,Aluminium,25,1.1,PVC,Yes,4,-10 to 70,IS 1554,320,95000,12,"4 core 25 sq mm aluminium LT power cable PVC insulated armoured 1.1kV IS 1554"
CBL012,4C x 6 sqmm LT Flexible Cable,LT Cable,Copper,6,1.1,PVC,No,4,-10 to 70,IS 694,98,35000,6,"4 core 6 sq mm copper flexible cable PVC insulated unarmoured 1.1kV for indoor wiring"
CBL015,4C x 35 sqmm LT Power Cable,LT Cable,Copper,35,1.1,XLPE,Yes,4,-10 to 70,IS 7098,480,145000,14,"4 core 35 sq mm copper LT power cable XLPE insulated armoured 1.1kV IS 7098"
CBL019,4C x 95 sqmm LT Power Cable,LT Cable,Aluminium,95,1.1,XLPE,Yes,4,-10 to 70,IS 7098,1280,385000,16,"4 core 95 sq mm aluminium LT power cable XLPE insulated armoured 1.1kV IS 7098"
CBL022,4C x 50 sqmm LT Power Cable,LT Cable,Copper,50,1.1,XLPE,Yes,4,-10 to 70,IS 7098,720,225000,15,"4 core 50 sq mm copper LT power cable XLPE insulated armoured 1.1kV IS 7098 compliant"
CBL025,3C x 25 sqmm LT Armoured Cable,LT Cable,Copper,25,1.1,XLPE,Yes,3,-10 to 70,IS 7098,380,115000,12,"3 core 25 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 standard"
CBL026,4C x 70 sqmm LT Power Cable,LT Cable,Aluminium,70,1.1,XLPE,Yes,4,-10 to 70,IS 7098,980,295000,14,"4 core 70 sq mm aluminium LT power cable XLPE insulated armoured 1.1kV IS 7098"
CBL030,4C x 120 sqmm LT Power Cable,LT Cable,Aluminium,120,1.1,XLPE,Yes,4,-10 to 70,IS 7098,1450,465000,18,"4 core 120 sq mm aluminium LT power cable XLPE insulated armoured 1.1kV IS 7098"
CBL031,3C x 35 sqmm LT Armoured Cable,LT Cable,Copper,35,1.1,XLPE,Yes,3,-10 to 70,IS 7098,520,165000,12,"3 core 35 sq mm copper LT cable XLPE insulated steel wire armoured 1.1kV IS 7098"
CBL033,4C x 185 sqmm LT Power Cable,LT Cable,Aluminium,185,1.1,XLPE,Yes,4,-10 to 70,IS 7098,2100,680000,20,"4 core 185 sq mm aluminium LT power cable XLPE insulated armoured 1.1kV IS 7098 heavy"
CBL034,3C x 16 sqmm LT Armoured Cable,LT Cable,Copper,16,1.1,XLPE,Yes,3,-10 to 70,IS 7098,285,85000,10,"3 core 16 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 compliant"
CBL036,4C x 240 sqmm LT Power Cable,LT Cable,Aluminium,240,1.1,XLPE,Yes,4,-10 to 70,IS 7098,2800,920000,25,"4 core 240 sq mm aluminium LT power cable XLPE insulated armoured 1.1kV IS 7098"
CBL037,3C x 6 sqmm LT Flexible Cable,LT Cable,Copper,6,1.1,PVC,No,3,-10 to 70,IS 694,78,28000,5,"3 core 6 sq mm copper flexible cable PVC insulated unarmoured 1.1kV IS 694 indoor"
CBL039,4C x 4 sqmm LT Flexible Cable,LT Cable,Copper,4,1.1,PVC,No,4,-10 to 70,IS 694,65,22000,5,"4 core 4 sq mm copper flexible cable PVC insulated unarmoured 1.1kV IS 694"
CBL041,4C x 150 sqmm LT Power Cable,LT Cable,Aluminium,150,1.1,XLPE,Yes,4,-10 to 70,IS 7098,1750,545000,18,"4 core 150 sq mm aluminium LT power cable XLPE insulated armoured 1.1kV IS 7098"
CBL042,3C x 4 sqmm LT Armoured Cable,LT Cable,Copper,4,1.1,XLPE,Yes,3,-10 to 70,IS 7098,95,32000,6,"3 core 4 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 standard"
CBL045,4C x 10 sqmm LT Power Cable,LT Cable,Copper,10,1.1,XLPE,Yes,4,-10 to 70,IS 7098,175,55000,8,"4 core 10 sq mm copper LT power cable XLPE insulated armoured 1.1kV IS 7098"
CBL048,4C x 300 sqmm LT Power Cable,LT Cable,Aluminium,300,1.1,XLPE,Yes,4,-10 to 70,IS 7098,3400,1100000,28,"4 core 300 sq mm aluminium LT power cable XLPE insulated armoured 1.1kV IS 7098 heavy"
CBL049,3C x 10 sqmm LT Armoured Cable,LT Cable,Copper,10,1.1,XLPE,Yes,3,-10 to 70,IS 7098,165,48000,7,"3 core 10 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 standard"
CBL051,4C x 2.5 sqmm LT Flexible Cable,LT Cable,Copper,2.5,1.1,PVC,No,4,-10 to 70,IS 694,55,18000,4,"4 core 2.5 sq mm copper flexible cable PVC insulated unarmoured 1.1kV IS 694"
CBL054,4C x 400 sqmm LT Power Cable,LT Cable,Aluminium,400,1.1,XLPE,Yes,4,-10 to 70,IS 7098,4500,1450000,35,"4 core 400 sq mm aluminium LT power cable XLPE insulated armoured 1.1kV IS 7098"
CBL055,3C x 50 sqmm LT Armoured Cable,LT Cable,Copper,50,1.1,XLPE,Yes,3,-10 to 70,IS 7098,680,195000,14,"3 core 50 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 compliant"
CBL057,3C x 1.5 sqmm LT Flexible Cable,LT Cable,Copper,1.5,1.1,PVC,No,3,-10 to 70,IS 694,38,12000,3,"3 core 1.5 sq mm copper flexible cable PVC insulated unarmoured 1.1kV IS 694 wiring"
CBL058,4C x 1.5 sqmm LT Flexible Cable,LT Cable,Copper,1.5,1.1,PVC,No,4,-10 to 70,IS 694,45,14500,3,"4 core 1.5 sq mm copper flexible cable PVC insulated unarmoured 1.1kV IS 694 wiring"
CBL059,3C x 70 sqmm LT Armoured Cable,LT Cable,Copper,70,1.1,XLPE,Yes,3,-10 to 70,IS 7098,920,285000,16,"3 core 70 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 power"
CBL061,3C x 95 sqmm LT Armoured Cable,LT Cable,Copper,95,1.1,XLPE,Yes,3,-10 to 70,IS 7098,1280,395000,18,"3 core 95 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 heavy duty"
CBL064,3C x 120 sqmm LT Armoured Cable,LT Cable,Copper,120,1.1,XLPE,Yes,3,-10 to 70,IS 7098,1580,485000,20,"3 core 120 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 power"
CBL067,3C x 150 sqmm LT Armoured Cable,LT Cable,Copper,150,1.1,XLPE,Yes,3,-10 to 70,IS 7098,1950,595000,22,"3 core 150 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 heavy"
CBL069,3C x 185 sqmm LT Armoured Cable,LT Cable,Copper,185,1.1,XLPE,Yes,3,-10 to 70,IS 7098,2350,725000,24,"3 core 185 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 power"
CBL071,3C x 240 sqmm LT Armoured Cable,LT Cable,Copper,240,1.1,XLPE,Yes,3,-10 to 70,IS 7098,2950,950000,28,"3 core 240 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 heavy duty"
CBL074,3C x 300 sqmm LT Armoured Cable,LT Cable,Copper,300,1.1,XLPE,Yes,3,-10 to 70,IS 7098,3650,1180000,32,"3 core 300 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 industrial"
CBL076,3C x 400 sqmm LT Armoured Cable,LT Cable,Copper,400,1.1,XLPE,Yes,3,-10 to 70,IS 7098,4650,1520000,38,"3 core 400 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 heavy"
CBL079,2C x 16 sqmm Power Cable,LT Cable,Copper,16,1.1,XLPE,Yes,2,-10 to 70,IS 7098,245,78000,9,"2 core 16 sq mm copper power cable XLPE insulated armoured 1.1kV IS 7098"
CBL081,2C x 25 sqmm Power Cable,LT Cable,Copper,25,1.1,XLPE,Yes,2,-10 to 70,IS 7098,345,105000,10,"2 core 25 sq mm copper power cable XLPE insulated armoured 1.1kV IS 7098"
CBL084,2C x 35 sqmm Power Cable,LT Cable,Copper,35,1.1,XLPE,Yes,2,-10 to 70,IS 7098,445,138000,12,"2 core 35 sq mm copper power cable XLPE insulated armoured 1.1kV IS 7098"
CBL087,2C x 50 sqmm Power Cable,LT Cable,Copper,50,1.1,XLPE,Yes,2,-10 to 70,IS 7098,565,175000,14,"2 core 50 sq mm copper power cable XLPE insulated armoured 1.1kV IS 7098"
CBL090,2C x 70 sqmm Power Cable,LT Cable,Copper,70,1.1,XLPE,Yes,2,-10 to 70,IS 7098,720,225000,15,"2 core 70 sq mm copper power cable XLPE insulated armoured 1.1kV IS 7098"
CBL092,2C x 95 sqmm Power Cable,LT Cable,Copper,95,1.1,XLPE,Yes,2,-10 to 70,IS 7098,895,285000,16,"2 core 95 sq mm copper power cable XLPE insulated armoured 1.1kV IS 7098"
CBL094,2C x 120 sqmm Power Cable,LT Cable,Copper,120,1.1,XLPE,Yes,2,-10 to 70,IS 7098,1080,345000,18,"2 core 120 sq mm copper power cable XLPE insulated armoured 1.1kV IS 7098"
CBL096,2C x 150 sqmm Power Cable,LT Cable,Copper,150,1.1,XLPE,Yes,2,-10 to 70,IS 7098,1350,425000,20,"2 core 150 sq mm copper power cable XLPE insulated armoured 1.1kV IS 7098"
CBL098,2C x 185 sqmm Power Cable,LT Cable,Copper,185,1.1,XLPE,Yes,2,-10 to 70,IS 7098,1620,515000,22,"2 core 185 sq mm copper power cable XLPE insulated armoured 1.1kV IS 7098"
CBL100,2C x 240 sqmm Power Cable,LT Cable,Copper,240,1.1,XLPE,Yes,2,-10 to 70,IS 7098,2050,665000,25,"2 core 240 sq mm copper power cable XLPE insulated armoured 1.1kV IS 7098"
CBL201,4C x 25 sqmm LT Power Cable 0.6kV,LT Cable,Aluminium,25,0.6,PVC,Yes,4,-10 to 70,IS 1554,300,85000,10,"4 core 25 sq mm aluminium LT power cable PVC insulated armoured 0.6kV IS 1554"
CBL202,4C x 35 sqmm LT Power Cable 0.6kV,LT Cable,Copper,35,0.6,XLPE,Yes,4,-10 to 70,IS 7098,450,135000,12,"4 core 35 sq mm copper LT power cable XLPE insulated armoured 0.6kV IS 7098"
CBL203,4C x 50 sqmm LT Power Cable 0.6kV,LT Cable,Copper,50,0.6,XLPE,Yes,4,-10 to 70,IS 7098,680,210000,14,"4 core 50 sq mm copper LT power cable XLPE insulated armoured 0.6kV IS 7098"
CBL204,4C x 70 sqmm LT Power Cable 0.6kV,LT Cable,Aluminium,70,0.6,XLPE,Yes,4,-10 to 70,IS 7098,920,275000,14,"4 core 70 sq mm aluminium LT power cable XLPE insulated armoured 0.6kV IS 7098"
CBL205,4C x 95 sqmm LT Power Cable 0.6kV,LT Cable,Aluminium,95,0.6,XLPE,Yes,4,-10 to 70,IS 7098,1200,360000,16,"4 core 95 sq mm aluminium LT power cable XLPE insulated armoured 0.6kV IS 7098"
CBL206,3C x 25 sqmm LT Armoured Cable 0.6kV,LT Cable,Copper,25,0.6,XLPE,Yes,3,-10 to 70,IS 7098,360,105000,10,"3 core 25 sq mm copper LT cable XLPE insulated armoured 0.6kV IS 7098"
CBL207,3C x 50 sqmm LT Armoured Cable 0.6kV,LT Cable,Copper,50,0.6,XLPE,Yes,3,-10 to 70,IS 7098,640,185000,12,"3 core 50 sq mm copper LT cable XLPE insulated armoured 0.6kV IS 7098"
CBL208,3C x 70 sqmm LT Armoured Cable 0.6kV,LT Cable,Copper,70,0.6,XLPE,Yes,3,-10 to 70,IS 7098,880,265000,14,"3 core 70 sq mm copper LT cable XLPE insulated armoured 0.6kV IS 7098"
CBL209,4C x 16 sqmm LT Power Cable 0.6kV,LT Cable,Copper,16,0.6,PVC,Yes,4,-10 to 70,IS 1554,235,72000,8,"4 core 16 sq mm copper LT power cable PVC insulated armoured 0.6kV IS 1554"
CBL210,4C x 120 sqmm LT Power Cable 0.6kV,LT Cable,Aluminium,120,0.6,XLPE,Yes,4,-10 to 70,IS 7098,1380,435000,16,"4 core 120 sq mm aluminium LT power cable XLPE insulated armoured 0.6kV IS 7098"
